ID,Age,Woman,SD,Pair,Dyad_type
101,27,1,0,1,0
102,25,1,0,1,0
103,24,1,0,2,0
104,22,1,0,2,0
105,24,1,1,3,2
106,22,1,1,3,2
107,29,1,1,4,2
108,26,1,1,4,2
109,38,1,0,5,1
110,45,1,1,5,1
111,19,1,1,6,1
112,23,1,0,6,1
115,21,0,1,8,2
116,21,0,1,8,2
117,29,0,0,9,0
119,22,1,0,10,1
120,22,1,1,10,1
121,22,1,0,11,1
122,20,1,1,11,1
123,41,0,1,12,2
124,37,0,1,12,2
125,29,1,1,13,2
126,31,1,1,13,2
127,19,1,1,14,1
128,19,1,0,14,1
129,21,1,0,15,1
130,23,1,1,15,1
131,26,1,1,16,1
132,30,1,0,16,1
133,42,1,0,17,0
134,42,1,0,17,0
135,21,1,1,18,2
136,24,1,1,18,2
137,20,0,0,19,0
138,25,0,0,19,0
139,27,1,0,20,0
140,31,1,0,20,0
143,19,0,1,22,2
144,20,0,1,22,2
145,20,1,1,23,2
146,22,1,1,23,2
147,23,1,1,24,1
149,21,1,0,24,1
151,24,1,0,26,1
152,21,1,1,26,1
153,39,1,1,27,1
154,43,1,0,27,1
155,23,1,0,28,0
156,20,1,0,28,0
159,26,0,0,30,0
160,22,0,0,30,0
161,19,0,0,31,0
162,20,0,0,31,0
163,23,1,0,32,0
164,27,1,0,32,0
165,20,0,0,33,1
166,18,0,1,33,1
167,21,0,1,34,1
168,20,0,0,34,1
171,22,0,1,36,2
172,26,0,1,36,2
173,21,1,0,37,1
174,21,1,1,37,1
175,32,1,1,38,2
176,34,1,1,38,2
177,23,1,1,39,2
178,21,1,1,39,2
179,22,1,0,40,0
180,24,1,0,40,0
181,45,1,0,41,1
182,41,1,1,41,1
183,19,0,0,42,0
184,23,0,0,42,0
185,26,1,0,43,0
186,28,1,0,43,0
187,21,0,0,44,0
188,21,0,0,44,0
189,25,0,1,45,2
190,25,0,1,45,2
191,42,0,0,46,1
192,45,0,1,46,1
193,25,1,1,47,2
194,24,1,1,47,2
195,19,1,0,48,0
196,18,1,0,48,0
197,38,1,0,49,0
198,32,1,0,49,0
201,27,1,0,51,0
202,23,1,0,51,0
203,18,1,1,52,1
204,19,1,0,52,1
205,37,0,1,53,2
206,31,0,1,53,2
207,27,1,0,54,0
208,27,1,0,54,0
209,21,1,0,55,0
210,20,1,0,55,0
211,25,1,1,56,2
212,22,1,1,56,2
213,28,1,1,57,2
214,30,1,1,57,2
215,19,1,0,58,0
216,18,1,0,58,0
217,23,1,1,64,2
218,21,1,1,81,2
219,19,0,0,60,0
220,18,0,0,60,0
221,19,1,1,61,2
222,24,1,1,61,2
223,21,0,0,62,0
224,23,0,0,62,0
226,24,1,1,63,2
228,21,1,1,64,2
229,21,0,0,65,0
230,18,0,0,65,0
232,26,1,1,66,1
233,32,1,1,69,1
235,22,1,1,68,2
236,19,1,1,68,2
238,36,1,0,69,1
239,37,0,1,70,2
240,42,0,1,70,2
241,33,0,0,71,0
242,28,0,0,71,0
243,28,1,1,72,1
244,25,1,1,81,2
245,19,0,1,73,1
246,18,0,0,73,1
247,24,0,1,74,2
248,25,0,1,74,2
249,23,1,0,67,1
252,19,0,1,76,1
253,30,1,0,77,0
254,26,1,0,77,0
255,27,0,0,78,1
256,29,0,1,78,1
257,27,0,1,79,1
258,28,0,0,79,1
259,23,0,1,80,1
260,22,0,0,80,1
263,27,0,1,82,2
264,22,0,1,82,2
265,24,0,1,83,2
266,23,0,1,83,2
267,23,0,0,84,0
268,27,0,0,84,0
269,19,0,0,85,1
270,21,0,1,85,1
271,22,0,1,86,2
272,19,0,1,86,2
274,26,1,0,87,0
275,31,0,1,88,1
276,33,0,0,88,1
278,23,0,0,89,0
279,23,1,1,90,1
280,27,1,0,90,1
281,21,0,1,91,1
282,19,0,0,91,1
285,25,0,0,93,1
286,26,0,1,93,1
287,42,1,0,94,0
288,44,1,0,94,0
289,26,0,0,95,1
290,25,0,1,95,1
291,27,1,1,96,2
292,28,1,1,96,2
293,19,0,0,97,0
294,17,0,0,97,0
297,20,0,1,99,2
298,25,0,1,99,2
301,26,0,1,101,2
302,26,0,1,101,2
305,18,0,0,103,0
306,20,0,0,103,0
417,21,1,1,59,2
418,18,1,1,59,2
425,22,1,1,63,2
431,30,1,0,66,1
433,27,1,1,67,1
451,24,0,0,76,1
573,27,1,0,87,0
577,25,0,0,89,0