ID,Woman,SD
101,1,0
102,1,0
103,1,0
104,1,0
105,1,1
106,1,1
107,1,1
108,1,1
109,1,0
110,1,1
111,1,1
112,1,0
115,0,1
116,0,1
117,0,0
118,0,0
119,1,0
120,1,1
121,1,0
122,1,1
123,0,1
124,0,1
125,1,1
126,1,1
127,1,1
128,1,0
129,1,0
130,1,1
131,1,1
132,1,0
133,1,0
134,1,0
135,1,1
136,1,1
137,0,0
138,0,0
139,1,0
140,1,0
143,0,1
144,0,1
145,1,1
146,1,1
147,1,1
149,1,0
151,1,0
152,1,1
153,1,1
154,1,0
155,1,0
156,1,0
159,0,0
160,0,0
161,0,0
162,0,0
163,1,0
164,1,0
165,0,0
166,0,1
167,0,1
168,0,0
171,0,1
172,0,1
173,1,0
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,0
180,1,0
181,1,0
182,1,1
183,0,0
184,0,0
185,1,0
186,1,0
187,0,0
188,0,0
189,0,1
190,0,1
191,0,0
192,0,1
193,1,1
194,1,1
195,1,0
196,1,0
197,1,0
198,1,0
201,1,0
202,1,0
203,1,1
204,1,0
205,0,1
206,0,1
207,1,0
208,1,0
209,1,0
210,1,0
211,1,1
212,1,1
213,1,1
214,1,1
215,1,0
216,1,0
217,1,1
218,1,1
219,0,0
220,0,0
221,1,1
222,1,1
223,0,0
224,0,0
226,1,1
228,1,1
229,0,0
230,0,0
232,1,1
233,1,1
235,1,1
236,1,1
238,1,0
239,0,1
240,0,1
241,0,0
242,0,0
243,1,1
244,1,1
245,0,1
246,0,0
247,0,1
248,0,1
249,1,0
252,0,1
253,1,0
254,1,0
255,0,0
256,0,1
257,0,1
258,0,0
259,0,1
260,0,0
263,0,1
264,0,1
265,0,1
266,0,1
267,0,0
268,0,0
269,0,0
270,0,1
271,0,1
272,0,1
274,1,0
275,0,1
276,0,0
278,0,0
279,1,1
280,1,0
281,0,1
282,0,0
285,0,0
286,0,1
287,1,0
288,1,0
289,0,0
290,0,1
291,1,1
292,1,1
293,0,0
294,0,0
297,0,1
298,0,1
301,0,1
302,0,1
305,0,0
306,0,0
417,1,1
418,1,1
425,1,1
431,1,0
433,1,1
451,0,0
573,1,0
577,0,0
673,1,0